"","iv","dv","m1","m2","cv1","cv2"
"1",37.9293425061458,43.422758694672,37.9397364847172,39.3329828777552,40.3712676283419,41.7485579372846
"2",52.7742924211066,53.312180851434,52.9185174070309,50.5696197802895,41.8628789195046,53.4716821704526
"3",60.8444117668306,50.7987242842832,45.1028933651584,47.3767473453891,48.0548760635346,40.7990705476213
"4",26.5430229737065,63.0048999575631,44.4294335304443,54.9249409882184,69.1601258971996,47.126635344579
"5",54.2912468881105,56.5357751705549,55.9342094037751,42.43836818036,57.0176921537689,44.4886970844592
"6",55.0605589215757,43.8355032227757,40.5889263809263,39.9617108082991,59.7054943871616,58.4864563999559
"7",44.2526003986535,39.6796940295398,53.3345688567988,40.8923927398485,48.7160352024132,63.0351300254165
"8",44.5336814421581,53.6416440159563,46.4665199438885,51.6653326067401,36.0529487425184,44.7136668368233
"9",44.3554800090672,39.6742645062279,43.6992913512992,44.8039754646161,57.085534149789,57.6295065915255
"10",41.099621709559,48.781527593371,49.1145733526576,38.6106666861274,47.9438803472994,67.9031043197109
"11",45.2280730024645,46.0723458547621,55.7749318423774,47.3908869023749,52.7240577863944,55.1565343256739
"12",40.016135551403,55.8123571899404,55.3972350260686,46.1876367181424,59.6548992605376,55.0995632659946
"13",42.2374610536201,54.9711934527937,39.6917082043111,47.6605440469412,56.8802322170023,58.7753475518044
"14",50.6445881727627,60.4580792736966,47.6316654708612,52.3971651591264,29.3472809238742,46.9484061954975
"15",59.5949405897077,44.5473506823969,54.7162651268299,44.2464840058601,28.4250559410484,40.0137897265735
"16",48.8971450560923,64.5518477446632,49.9549724757602,56.1324246493806,67.0372824910126,57.7971744318124
"17",44.8899049419336,45.9610533877489,45.2857458849944,50.9139713815968,38.8002115510895,47.9754417050135
"18",40.8880458337019,40.3460765246821,32.3025440148317,44.3245275128219,40.0811530335783,50.5769265498578
"19",41.6282831973106,50.5416174103743,44.9810190738771,49.5790590216239,38.8202615606189,42.1554606511398
"20",74.1583517848934,54.2814999278726,52.5725189198883,53.6235270963207,44.0052979568497,26.9522145255879
"21",51.3408822015203,60.0217185991863,50.7351045159921,56.1333747300993,43.486155513013,57.0584518543611
"22",45.0931410330906,50.6415063028917,43.010954342193,44.0292173852095,43.2539051277327,52.8527028886479
"23",45.5945212764677,45.0564207465878,47.5321420291094,49.2874677192577,40.2457963919161,48.1478083094646
"24",54.5958944100585,61.6940695813061,47.3892223372482,65.7238374185313,64.4603747253663,34.6714322619436
"25",43.0627975306252,41.2361022408721,44.7750371971511,41.3820136639641,59.5568760446747,50.330032767412
"26",35.5179508961353,56.3410639547502,41.9405557927018,48.5487997426767,56.6242118662815,43.1013452255692
"27",55.7475572090073,50.4864346848339,60.269223155586,45.4799018709405,44.3133847510007,43.3962899251716
"28",39.7634427703612,52.3606622990613,50.2039949491963,51.3600868648253,45.2549427805543,58.8886063882028
"29",49.8486169963582,46.9086952664973,48.5457116690375,55.2680484730374,45.3462504670882,58.7860894659733
"30",40.6405139883161,38.682593886606,38.8988441938704,31.4387647455087,49.6465060148794,53.6698477241249
"31",61.0229754620026,56.8209432460432,60.6944187303908,50.7706606194773,45.069328964002,46.9498325017253
